! 2 formats possible:
!  1. Year   TT-UT1 (seconds). Year with decimals optionally.
!  2. Year month day TT-UT1 (seconds), for better accuracy within the years.
!     Second format requires 4 fields separated by spaces. Otherwise format 1 is used.
! Year  TT-UT1  Error estimate (s)    See Morrison and Stephenson 2004
-500   17190   430
-400   15530   390
-300   14080   360
-200   12790   330
-100   11640   290
0      10580   260
100    9600    240
200    8640    210
300    7680    180
400    6700    160
500    5710    140
600    4740    120
700    3810    100
800    2960    80
900    2200    70
1000   1570    55
1100   1090    40
1200   740     30
1300   490     20
1400   320     20
1500   200     20
1600   120     20
1610   122     20   !  Added to smooth the transition
! AA 1992
1620   124.0
1621   119.0
1622   115.0
1623   110.0
1624   106.0
1625   102.0
1626   98.0
1627   95.0
1628   91.0
1629   88.0
1630   85.0
1631   82.0
1632   79.0
1633   77.0
1634   74.0
1635   72.0
1636   70.0
1637   67.0
1638   65.0
1639   63.0
1640   62.0
1641   60.0
1642   58.0
1643   57.0
1644   55.0
1645   54.0
1646   53.0
1647   51.0
1648   50.0
1649   49.0
1650   48.0
1651   47.0
1652   46.0
1653   46.0   ! Was 45. This and next 3 values slightly modified for a smooth transition
1654   45.0   ! Was 44. Uncertainty is higher than 10s so it doesn't matter
1655   45.0   ! Was 43
1885.000     -5.74     0.09      0.15     0.46
1885.500     -5.68     0.08      0.12     0.36
1886.000     -5.69     0.06      0.09     0.32
1886.500     -5.65     0.05     -0.01     0.23
1887.000     -5.67     0.03     -0.17     0.19
1887.500     -5.68     0.08     -0.15     0.12
1888.000     -5.73     0.07     -0.11     0.33
1888.500     -5.72     0.10     -0.15     0.28
1889.000     -5.78     0.08     -0.19     0.39
1889.500     -5.79     0.08     -0.27     0.32
1890.000     -5.86     0.06     -0.31     0.30
1890.500     -5.89     0.07     -0.49     0.22
1891.000     -6.01     0.06     -0.78     0.27
1891.500     -6.13     0.11     -0.74     0.22
1892.000     -6.28     0.09     -0.84     0.41
1892.500     -6.41     0.12     -0.47     0.34
1893.000     -6.53     0.10      0.03     0.47
1893.500     -6.49     0.11      0.12     0.38
1894.000     -6.50     0.08      0.11     0.42
1894.500     -6.45     0.08      0.38     0.33
1895.000     -6.41     0.06      0.67     0.32
1895.500     -6.26     0.12      0.94     0.23
1896.000     -6.11     0.10      1.04     0.45
1896.500     -5.90     0.11      1.65     0.38
1897.000     -5.63     0.09      2.55     0.43
1897.500     -5.13     0.09      2.59     0.34
1898.000     -4.68     0.07      2.60     0.35
1898.500     -4.19     0.05      2.67     0.27
1899.000     -3.72     0.02      2.66     0.18
1899.500     -3.21     0.08      2.93     0.10
1900.000     -2.70     0.07      3.21     0.31
1900.500     -2.09     0.06      3.46     0.27
1901.000     -1.48     0.04      3.89     0.23
1901.500     -0.75     0.07      3.81     0.16
1902.000     -0.08     0.05      3.69     0.25
1902.500      0.62     0.06      3.65     0.21
1903.000      1.26     0.04      3.61     0.22
1903.500      1.95     0.06      3.63     0.17
1904.000      2.59     0.05      3.69     0.23
1904.500      3.28     0.12      3.62     0.19
1905.000      3.92     0.11      3.61     0.48
1905.500      4.61     0.18      3.36     0.41
1906.000      5.20     0.15      2.83     0.70
1906.500      5.73     0.20      3.19     0.59
1907.000      6.29     0.17      3.75     0.79
1907.500      7.00     0.13      3.85     0.64
1908.000      7.68     0.09      4.10     0.50
1908.500      8.45     0.09      3.83     0.33
1909.000      9.13     0.06      3.45     0.33
1909.500      9.78     0.12      3.43     0.25
1910.000     10.38     0.10      3.22     0.47
1910.500     10.99     0.16      3.67     0.39
1911.000     11.64     0.13      4.41     0.62
1911.500     12.47     0.13      4.27     0.51
1912.000     13.23     0.10      4.13     0.51
1912.500     14.00     0.09      3.91     0.39
1913.000     14.69     0.06      3.65     0.33
1913.500     15.38     0.06      3.49     0.23
1914.000     16.00     0.04      3.38     0.22
1914.500     16.64     0.06      3.13     0.16
1915.000     17.19     0.05      2.79     0.24
1915.500     17.72     0.05      2.70     0.20
1916.000     18.19     0.03      2.52     0.18
1916.500     18.67     0.10      2.62     0.13
1917.000     19.13     0.08      2.94     0.37
1917.500     19.69     0.18      2.57     0.32
1918.000     20.14     0.16      2.09     0.70
1918.500     20.54     0.13      1.85     0.60
1919.000     20.86     0.09      1.46     0.51
1919.500     21.14     0.21      1.59     0.35
1920.000     21.41     0.18      1.90     0.82
1920.500     21.78     0.22      1.64     0.70
1921.000     22.06     0.17      1.21     0.84
1921.500     22.30     0.15      1.26     0.67
1922.000     22.51     0.11      1.40     0.58
1922.500     22.79     0.07      1.33     0.42
1923.000     23.01     0.04      1.41     0.28
1923.500     23.29     0.05      1.04     0.16
1924.000     23.46     0.04      0.39     0.19
1924.500     23.55     0.05      0.57     0.15
1925.000     23.63     0.04      0.76     0.20
1925.500     23.80     0.07      0.95     0.16
1926.000     23.95     0.06      1.54     0.27
1926.500     24.25     0.09      0.88     0.22
1927.000     24.39     0.07      0.01     0.34
1927.500     24.42     0.05     -0.27     0.29
1928.000     24.34     0.03     -0.79     0.19
1928.500     24.22     0.02     -0.56     0.10
1929.000     24.10     0.02     -0.23     0.09
1929.500     24.08     0.01     -0.19     0.06
1930.000     24.02     0.00     -0.05     0.04
1930.500     24.04     0.01     -0.15     0.01
1931.000     23.98     0.01     -0.54     0.06
1931.500     23.91     0.02      0.00     0.05
1932.000     23.89     0.02      0.20     0.08
1932.500     23.95     0.02      0.06     0.07
1933.000     23.93     0.02     -0.22     0.08
1933.500     23.92     0.02     -0.10     0.06
1934.000     23.88     0.02      0.21     0.08
1934.500     23.94     0.03     -0.04     0.06
1935.000     23.91     0.02     -0.62     0.10
1935.500     23.82     0.03     -0.21     0.08
1936.000     23.76     0.02      0.48     0.11
1936.500     23.87     0.02      0.34     0.09
1937.000     23.91     0.02      0.13     0.09
1937.500     23.95     0.02      0.17     0.06
1938.000     23.96     0.01      0.08     0.06
1938.500     24.00     0.04      0.38     0.05
1939.000     24.04     0.04      0.83     0.05
1939.500     24.20     0.04      0.95     0.11
1940.000     24.35     0.03      1.29     0.08
1940.500     24.61     0.02      1.30     0.04
1941.000     24.82     0.01      1.30     0.08
1941.500     25.09     0.01      1.29     0.07
1942.000     25.30     0.01      1.23     0.17
1942.500     25.56     0.01      1.30     0.21
1943.000     25.77     0.01      1.38     0.11
1943.500     26.05     0.02      1.43     0.19
1944.000     26.27     0.01      1.52     0.19
1944.500     26.54     0.02      1.44     0.24
1945.000     26.76     0.01      1.16     0.81
1945.500     27.04     0.02      1.29     0.85
1946.000     27.27     0.01      1.25     0.94
1946.500     27.55     0.01      1.40     1.07
1947.000     27.77     0.01      1.30     1.20
1947.500     28.03     0.01      1.24     0.84
1948.000     28.25     0.01      1.22     0.87
1948.500     28.50     0.01      1.19     0.93
1949.000     28.70     0.01      1.23     1.04
1949.500     28.95     0.01      1.13     1.13
1950.000     29.15     0.01      1.21     0.74
1950.500     29.38     0.01      1.19     0.81
1951.000     29.57     0.01      1.24     0.84
1951.500     29.80     0.01      1.04     0.89
1952.000     29.97     0.01      1.05     1.12
1952.500     30.19     0.01      0.94     0.89
1953.000     30.36     0.01      1.10     0.97
1953.500     30.57     0.01      1.03     0.12
1954.000     30.72     0.01      0.91     0.09
1954.500     30.93     0.01      0.64     0.10
1955.000     31.07     0.01      0.74     0.11
1955.500     31.24     0.01      1.37     0.01
1956.000     31.349    0.003     0.27     0.03
1956.500     31.516    0.003     0.99     0.12
1957.000     31.677    0.003     0.99     0.15
1957.500     31.923    0.003     1.36     0.16
1958.000     32.166    0.003     1.57     0.11
1958.500     32.449    0.003     1.37     0.18
1959.000     32.671    0.003     1.42     0.12
1959.500     32.919    0.003     1.39     0.08
1960.000     33.150    0.003     1.26     0.10
1960.500     33.397    0.003     1.06     0.11
1961.000     33.584    0.003     1.01     0.19
1961.500     33.804    0.003     1.29     0.10
1962.000     33.992    0.001     1.15     0.07
1962.500     34.240    0.001     1.23     0.03
1963.000     34.466    0.001     1.05     0.03
1963.500     34.731    0.001     1.41     0.05
1964.000     35.030    0.001     1.92     0.02
1964.500     35.400    0.001     1.82     0.03
1965.000     35.738    0.001     1.88     0.03
1965.500     36.147    0.001     2.30     0.02
1966.000     36.546    0.001     2.23     0.03
1966.500     36.995    0.001     2.38     0.03
1967.000     37.429    0.001     2.22     0.03
1967.500     37.879    0.001     2.36     0.02
1968.000     38.291    0.001     2.44     0.03
1968.500     38.753    0.001     2.64     0.03
1969.000     39.204    0.001     2.38     0.03
1969.500     39.707    0.001     2.66     0.02
1970.000     40.182    0.001     2.74     0.02
1970.500     40.706    0.001     2.64     0.02
1971.000     41.170    0.001     2.43     0.03
1971.500     41.686    0.001     3.10     0.03
1972.000     42.227    0.001     2.94     0.03
